Spanish,English
haciendo,making
días,days
nombre,Name
buen,good
había,there was
ven,come
tres,three
menos,less
debe,should
tenía,I had
mal,evil
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,mom
tienen,have
luego,later
todas,all
allí,there
toda,all
hora,hour
mujer,woman
visto,viewed
haces,you do
importa,import
contigo,with you
ve,go
tarde,afternoon
oye,hears
parte,part
haber,to have
hombres,mens
problema,trouble
mas,more
saber,to know
quería,wanted
aún,yet
veces,times
nuestra,our
hacerlo,do it
cada,every
hizo,did
veo,I see
tanto,so much
razón,reason
ustedes,your
idea,idea
esos,those
van,go
quizá,maybe
debo,I must
alguna,some
cierto,certain
ud,You
muerto,dead
unos,some
estos,these
salir,leave
policía,police
realmente,Really
demasiado,too
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,Dear
lado,side
allá,there
entre,Come in
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,watch out
pasó,I pass
buenas,good
somos,are
amor,love
puerta,door
ves,you see
vaya,Wow
ah,ah
suerte,luck
eh,Hey
rápido,Quick
cuenta,bill
quizás,maybe
esas,those
pues,well
pasado,past
pensé,I thought
todavía,yet
hermano,brother
debes,you should
casi,almost
forma,shape
aqui,here
chico,guy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,inside
hice,I did
contra,against
auto,car
camino,way
ayuda,help
primera,first
hacia,toward
vi,saw
miedo,afraid
adiós,bye
primero,First
debería,should
poder,can
niños,children
sería,would
historia,history
hey,Hey
mientras,While
ciudad,town
dijiste,said
espero,wait
cuánto,how much
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,must
deja,let
año,year
muerte,death
hablando,speaking
manos,hands
da,gives
loco,mad
problemas,problems
mano,hand
guerra,war
semana,week
pasar,pass
vale,okay
cuál,which one
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,people
capitán,captain
adelante,go ahead
niño,child
listo,clever
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,near
otros,others
sigue,follow
grande,big
arriba,above
jefe,boss
habla,talks
supongo,I suppose
manera,way
quieren,They want.
feliz,happy
significa,it means
sangre,blood
fin,finish
bajo,under
llama,call
venir,come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listen
entrar,get in
ningún,No.
corazón,heart
diablos,Devils
necesitamos,we need
atrás,behind
durante,during
dices,You say
nuestros,our
persona,person
abajo,down
dr,Dr.
hija,daughter
dejar,let
necesita,needs to
llegar,reach
hago,do
señora,Lady
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,land
cara,expensive
siquiera,even
genial,great
cree,CREE.
supuesto,assumption
tomar,drink
equipo,equipment
justo,just
juego,play
ninguna,none
matar,kill
cinco,five
dicen,they say
amo,love
cuándo,when
pequeño,small
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nail
muchos,Many
hubiera,had
segundo,second
aunque,even though
pueda,can.
dime,tell me
igual,same
comida,food
ay,Oh
cuerpo,body
encontrar,find
fuerte,strong
vuelta,lap
venga,come on
creer,to believe
realidad,reality
saben,Saben.
puta,bitch
deberías,you should
pregunta,question
fui,I was
cuatro,four
sra,Ms
primer,first
trabajar,to work
e,and
hagas,you do
alto,high
maldita,damned
comer,eat
número,number
dar,give
necesitas,you need
oportunidad,chance
punto,point
misma,one.
última,last.
afuera,outside
mujeres,women
pensar,to think
fueron,They were
difícil,hard
vivir,to live
paso,He passed
malo,bad
estabas,You were there
vivo,alive
haga,make
queda,remains
hijos,sons
mayor,higher
fiesta,party
hacen,do
medio,"means, medium"
algunas,some
basta,Enough
arma,weapon
vino,came
meses,months
cuarto,quarter
éste,East
escuela,school
esté,East
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,they were
carajo,Carajo.
final,final
lista,ready
trata,treats
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
podía,I could
bastante,Quite
seguridad,security
pasando,going
esperando,waiting
acá,here
teléfono,telephone
perro,dog
fuego,fire
murió,died
tampoco,either
sola,alone
estuvo,he was
verte,to see you
iré,I will go
tenido,Dyed
culpa,guilt
veras,you will see
adónde,where to
buscando,searching
cuanto,how much
padres,fathers
paz,peace
demonios,got damn
estará,will be
cual,which
perdón,forgiveness
asi,So
jugar,play
pensando,thinking
esperar,expect
sabemos,we know
recuerdo,I remember
par,pair
joven,young man
seguir,"follow, continue"
pueblo,town
tenga,have
caballeros,gentlemen
idiota,moron
dio,it gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,ours
plan,plan
pienso,I think
sentido,sense
dormir,to sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
entiendes,you understand
país,country
seis,six
último,latest
ésta,is
diga,SIGE.
podrías,could you
pequeña,little
cállate,shut
trato,treatment
rey,King
sucede,happens
muchachos,Boys
jamás,Never
cama,bed
srta,Ms
ayudar,to help
acerca,about
di,gave
cambio,change
falta,lack
hospital,hospital
lleva,carry
presidente,President
mil,one thousand
gusto,taste
conoces,you know
diciendo,saying
os,you
ido,gone
general,general
extraño,strange
semanas,weeks
coche,car
peor,worse
mucha,a lot
disculpe,excuse me
diré,I'll say
anoche,last night
perder,to lose
vámonos,Let's go
nave,ship
cielo,Darling
habrá,there will be
orden,order
segura,safe
querida,Dear
niña,little girl
increíble,amazing
además,what's more
deben,they should
libro,book
calle,Street
café,coffee
piensas,You think
hacemos,we make
especial,special
queremos,we want
irme,go
perfecto,perfect
buscar,search for
odio,hate
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,york
llamar,to call
mala,bad
detrás,behind
viste,dresses
dile,tell him
grandes,big
recuerdas,remember
real,real
estaban,They were
mía,mine
frente,forehead
perdido,lost
llamo,I call
muertos,dead
millones,millions
asesino,assassin
sueño,sleep
quisiera,I would like
habría,there would be
hará,he will do
viaje,travel
probablemente,probably
resto,rest
estaré,I will be
maldición,curse
lamento,lament
muchacho,young guy
avión,airplane
ropa,clothing
fuerza,force
llamado,called
oído,hearing
dado,dice
encima,above
negro,black
usar,use
información,information
uds,You
preguntas,questions
tuvo,had
secreto,secret
vuelve,returns
miren,Look
quieras,want.
haría,would do
acaba,just
otras,Others
incluso,even
sientes,you feel
deberíamos,we should
haz,make
decirte,tell you
boca,mouth
dolor,pain
baño,bath
adentro,inside
profesor,Professor
habitación,bedroom
daño,damage
tuyo,yours
seas,Seas.
noticias,news
demás,the rest
querido,Dear
duro,Lasted
poner,place
prueba,proof
mire,Look
tonto,fool
campo,countryside
siendo,being
diez,ten
ése,that
tranquilo,quiet
asunto,business
acabó,just
quédate,stay
derecho,right
placer,pleasure
recuerda,remember
estuve,was
tratando,trying
ejército,army
futuro,future
llevar,carry
compañía,company
venido,I come
listos,ready
haremos,will
sitio,site
verlo,see him
puesto,Market Stall
atención,attention
sino,otherwise
cambiar,change
error,error
blanco,White
raro,weird
palabras,words
llegó,I arrive
sal,Salt
pase,happens
mente,mind
sistema,system
película,film
anda,Anda
ello,it
negocio,business
novia,bride
permiso,permit
creí,I believed.
suena,dream
ocurre,occurred
oficial,official
espere,Wait
aire,air
mató,killed
regresar,to return
vio,he saw
hazlo,do it
trasero,rear
grupo,group
entendido,understood
señorita,Miss
música,music
perra,female dog
conoce,known
empezar,begin
siente,Feel
acabo,finished
estúpido,stupid
diferente,different
traje,suit
modo,mode
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
eras,ages
pena,pain
largo,length
entra,enters
piso,flat
foto,Photo
dijeron,they said
médico,doctor
accidente,accident
fuiste,you were
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,ship
ganar,to earn
normal,normal
segundos,seconds
vive,it lives
mitad,half
quiera,want
tras,after
decirle,tell him.
lindo,cute
funciona,it works
programa,Program
vine,came
abre,opens
sean,Sean.
pagar,to pay
fotos,photos
centro,center
supone,Suppose
basura,trash
situación,situation
mejores,top
vienen,they come
encanta,loves
marido,husband
personal,personal
maestro,teacher
hambre,hunger
ataque,attack
culo,ass
dale,Go ahead
pie,foot
conseguir,get
trabajando,working
gracioso,funny
dejó,let
pudo,he could
derecha,right
izquierda,left
próxima,Next
pobre,poor
respuesta,answer
tipos,types
sentir,feel
tenías,You had
pude,I could
darle,give him
voz,voice
amiga,friend
gustan,like
vista,view
salvo,except
loca,crazy
hotel,hotel
hicieron,they made
ten,Ten.
temo,fear
señal,sign
pelo,hair
llevo,I wear
ayer,Yesterday
das,you give
nena,Chick
servicio,service
tren,train
bonito,nice
mes,month
tendrá,will have
tendrás,you will have
edad,age
ellas,they
hermosa,beautifull
honor,honor
simplemente,simply
llamas,calls
tengas,You have
corre,runs
baja,short
sol,Sun
siéntate,Sit down
dan,Dan.
humano,human
divertido,funny
sexo,sex
vuelto,turned
peligro,danger
mesa,desk
siguiente,following
hablo,talked
disculpa,sorry
decirme,tell me
caja,cash register
negocios,business
misión,mission
silencio,be quiet
sale,comes out
llegado,arrived
estaría,It would
regreso,Return
media,half
estan,are
propio,own self
oro,gold
enseguida,right away
linda,pretty
prometo,I promise
esposo,husband
norte,North
hubo,was
juro,Juro.
muerta,dead
interesante,interesting
pensaba,thought
busca,search
terminar,end up
tendré,I will have
completamente,completely
cita,appointment
siete,seven
cumpleaños,birthday
abogado,attorney
alrededor,around
cerebro,brain
porqué,because
llave,wrench
santo,holy
hermoso,handsome
necesario,necessary
edificio,edifice
irnos,weaken
aun,yet
tendremos,we will have
vayas,Vayas.
doy,give
trae,Bring
salió,he left
ley,law
ahi,there
verdadero,real
pelea,Fight
banco,Bank
terrible,terrible
calma,Calm down
cena,Dinner
daré,I will give
gobierno,government
comprar,to buy
creen,Creen.
sargento,sergeant
destino,destination
existe,exists
hacía,toward
novio,boyfriend
sala,Hall
través,through
regalo,present
iglesia,church
decía,He said
cualquiera,anyone
excelente,Excellent
esperen,Wait
deseo,desire
alma,soul
diablo,Devil
deje,leave
cuántos,how many
espada,sword
estábamos,We were
carne,meat
maravilloso,marvelous
vidas,Lives
sucedió,It happened
oí,I heard
peligroso,dangerous
dirección,address
libertad,Liberty
jesús,Jesus
ocurrió,occurred
veré,I will see
sueños,Dreams
pudiera,I could
detective,detective
sorpresa,surprise
tuya,yours
pies,feet
club,club
terminado,finished
infierno,hell
creía,He believed.
luna,Moon
salvar,save
carta,letter
estés,Bene
cielos,Heavens
teniente,lieutenant
encuentra,find
veamos,let's see
quise,I wanted
escúchame,listen to me
necesitan,Need
ambos,both of them
decisión,decision
enemigo,enemy
hicimos,we did
dulce,sweet
pruebas,tests
querías,You wanted
abuelo,Grandpa
totalmente,completely
mirando,looking
vayan,go
carrera,career
